wavelength,A,D
436,0.906025614,0.601974194
437,0.930445841,0.612296774
438,0.95248426,0.622995699
439,0.97101687,0.633533333
440,0.98544153,0.644178495
441,0.995383574,0.654823656
442,1,0.665415054
443,0.999665476,0.676221505
444,0.994152526,0.687135484
445,0.984344293,0.698103226
446,0.970722489,0.709017204
447,0.953808973,0.719447312
448,0.933951649,0.729554839
449,0.911311088,0.739662366
450,0.886917623,0.749984946
451,0.861667777,0.760791398
452,0.836765836,0.771597849
453,0.813322418,0.781866667
454,0.791765714,0.791329032
455,0.773500722,0.799823656
456,0.75891549,0.808855914
457,0.748344543,0.817673118
458,0.742202688,0.826060215
459,0.740918118,0.834554839
460,0.744892259,0.84192043
461,0.753951159,0.848855914
462,0.767706772,0.856382796
463,0.785342859,0.86331828
464,0.805909374,0.870737634
465,0.828135126,0.877941935
466,0.850735544,0.883909677
467,0.872332391,0.889769892
468,0.890798097,0.894877419
469,0.905289662,0.9002
470,0.913893611,0.905522581
471,0.914977467,0.910522581
472,0.907778518,0.916060215
473,0.891467144,0.922189247
474,0.866779299,0.928802151
475,0.835133361,0.935845161
476,0.797479378,0.94192043
477,0.754406111,0.946597849
478,0.708014371,0.951060215
479,0.65908025,0.955576344
480,0.608915082,0.961490323
481,0.558897105,0.968264516
482,0.510712317,0.974931183
483,0.465618528,0.982135484
484,0.424298166,0.988587097
485,0.386657564,0.993855914
486,0.352281913,0.997995699
487,0.320729642,1.000791398
488,0.291385226,1.001651613
489,0.264181762,1.001705376
490,0.239132631,1.001382796
491,0.216518832,1.000845161
492,0.195912174,1.00036129
493,0.177058421,0.999931183
494,0.160078,0.999608602
495,0.144569483,0.999070968
496,0.131126985,0.998049462
497,0.119646133,0.996812903
498,0.109416399,0.995253763
499,0.100356161,0.993103226
500,0.092403864,0.991974194
501,0.085463167,0.990683871
502,0.079406951,0.989393548
503,0.074084011,0.988210753
504,0.069281589,0.986006452
505,0.064923415,0.983587097
506,0.060965331,0.981382796
507,0.057364518,0.979447312
508,0.053933644,0.977726882
509,0.050644607,0.976382796
510,0.047493394,0.974662366
511,0.044608462,0.97331828
512,0.042055378,0.97208172
513,0.039826112,0.970845161
514,0.037765446,0.969232258
515,0.03564858,0.967565591
516,0.033688272,0.966113978
517,0.031632959,0.963748387
518,0.029730188,0.960791398
519,0.028116446,0.957135484
520,0.026437137,0.95331828
521,0.024876919,0.949716129
522,0.023352829,0.946866667
523,0.021793949,0.943694624
524,0.020383597,0.940737634
525,0.019132478,0.93708172
526,0.017905446,0.932780645
527,0.01674398,0.928264516
528,0.01571097,0.922296774
529,0.01470954,0.916113978
530,0.013802045,0.909662366
531,0.013038528,0.902458065
532,0.01223072,0.894286022
533,0.011454893,0.884447312
534,0.010720011,0.873264516
535,0.010050964,0.860522581
536,0.009413496,0.846812903
537,0.008668712,0.832027957
538,0.007963135,0.815898925
539,0.007172187,0.798587097
540,0.006423791,0.779662366
541,0.005981684,0.759178495
542,0.005679141,0.737296774
543,0.005315046,0.713963441
544,0,0.689178495
545,0.004188504,0.662834409
546,0.003513301,0.635630108
547,0.003039214,0.607726882
548,0.002730717,0.579178495
549,0.002417776,0.550737634
550,0.002063596,0.522135484
551,0.001515994,0.493651613
552,0.000960578,0.465576344
553,0.000397374,0.437877419
554,-0.000130063,0.410673118
555,-0.000436486,0.384178495
556,-0.000646166,0.35847957
557,-0.00069795,0.333780645
558,-0.000771545,0.310183871
559,-0.000809547,0.28764086
560,-0.000839387,0.266243011
561,-0.000974267,0.245855914
562,-0.001169896,0.226549462
563,-0.001351743,0.208436559
564,-0.001351743,0.191522581
565,-0.001351743,0.17586129
566,-0.001351743,0.161382796
567,-0.001351743,0.147995699
568,-0.001351743,0.1357
569,-0.001351743,0.124506452
570,-0.001351743,0.114463441
571,-0.001351743,0.104780645
572,-0.001351743,0.095667742
573,-0.001351743,0.087119355
574,-0.001351743,0.079017204
575,-0.001351743,0.071845161
576,-0.001351743,0.065415054
577,-0.001351743,0.059576344
578,-0.001351743,0.054210753
579,-0.001351743,0.049173118
580,-0.001351743,0.044404301
581,-0.001351743,0.039915054
582,-0.001351743,0.035775269
583,-0.001351743,0.031974194
584,-0.001351743,0.028465591
585,-0.001351743,0.025100538
586,-0.001351743,0.021924194
587,-0.001351743,0.018996774
588,-0.001351743,0.016317204
589,-0.001351743,0.013962903
590,-0.001351743,0.011796774
591,-0.001351743,0.009859677
592,-0.001351743,0.008142473
593,-0.001351743,0.006590323
594,0.000850961,0.00523172
595,0.000645617,0.004036559
596,0.000547696,0.002995699
597,0.000461281,0.002116667
598,0.000322012,0.001364516
599,0.000200045,0.000672581
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
1000,0,0
